AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2017,85410,Tauramena,85,Casanare,3825.0,Casanare (ETC),5351,97.1,96.73,56.84,86.21,92.8,52.93,112.26,90.32,106.18,131.69,101.64,26.415,11.54,3.32,1.77,2.92,3.97,3.59,90.4,0.0,91.83,87.11,90.73,6.28,0.0,5.25,8.92,5.68,0.81,0.25,0.93,1.03,0.15
2017,85430,Trinidad,85,Casanare,3825.0,Casanare (ETC),4033,75.6,75.55,60.8,78.61,58.42,27.09,86.66,82.1,104.85,80.81,53.42,23.099,19.35,2.77,3.31,2.29,3.69,1.7,91.22,0.0,91.04,89.54,92.86,6.01,0.0,6.68,6.77,5.44,0.57,0.0,0.25,1.39,0.0
2017,85440,Villanueva,85,Casanare,3825.0,Casanare (ETC),5785,119.3,119.27,87.34,121.33,106.28,58.27,131.65,118.26,144.2,136.69,97.65,31.029,12.5,3.2,2.71,2.52,4.34,2.8,91.12,0.0,92.68,87.61,91.47,5.67,0.0,4.81,8.05,5.73,2.32,0.0,1.74,3.7,1.96
2017,86001,Mocoa,86,Putumayo,3826.0,Putumayo (ETC),10447,98.7,98.62,58.88,90.77,88.15,48.08,114.74,100.0,111.26,130.34,97.46,27.071,28.3,6.33,4.89,3.87,9.4,6.3,86.88,0.0,91.94,79.91,85.74,6.79,0.0,4.19,10.69,7.96,5.08,0.13,3.78,7.8,4.06
2017,86219,Colón,86,Putumayo,3826.0,Putumayo (ETC),1165,76.6,76.57,41.0,73.35,72.92,39.9,88.67,76.0,103.51,87.4,62.5,21.326,33.33,3.32,3.95,1.86,5.21,3.08,90.24,0.0,91.88,86.5,90.77,6.44,0.0,6.26,8.28,6.15,6.33,2.63,5.34,7.67,8.46
2017,86320,Orito,86,Putumayo,3826.0,Putumayo (ETC),15635,55.2,55.22,24.26,53.44,47.56,27.51,63.87,54.85,66.33,67.81,54.79,27.949,14.62,5.11,4.48,3.47,7.37,5.4,88.82,0.0,93.39,81.69,87.14,6.07,0.0,3.14,10.94,7.46,0.98,0.14,0.97,1.34,0.6
2017,86568,Puerto Asís,86,Putumayo,3826.0,Putumayo (ETC),15933,89.0,89.04,46.07,86.6,69.62,37.39,111.75,90.47,115.04,111.5,114.66,29.472,15.19,5.66,6.22,4.07,7.89,5.56,85.05,0.71,87.91,77.49,90.05,9.29,0.71,8.02,14.61,4.39,3.08,0.53,3.31,3.84,1.37
2017,86569,Puerto Caicedo,86,Putumayo,3826.0,Putumayo (ETC),3660,62.0,62.05,32.8,62.5,51.25,23.3,70.68,68.15,82.2,70.42,44.01,30.528,17.19,6.29,8.41,4.06,7.76,10.64,89.92,0.0,93.49,86.11,83.4,3.78,0.0,2.45,6.13,5.96,2.96,0.47,1.52,6.51,0.43
2017,86571,Puerto Guzmán,86,Putumayo,3826.0,Putumayo (ETC),6593,78.2,78.16,37.87,79.47,58.31,16.27,89.2,76.42,110.54,91.15,38.7,25.523,5.45,9.34,7.88,5.32,14.95,16.33,87.61,0.0,91.23,81.81,81.09,3.05,0.0,3.45,3.24,2.58,1.68,0.45,1.61,2.25,0.86
2017,86573,Leguízamo,86,Putumayo,3826.0,Putumayo (ETC),3918,139.7,139.71,83.64,140.86,100.75,44.1,157.96,177.47,190.38,144.64,90.47,27.523,11.7,6.64,7.48,6.65,6.68,5.34,89.92,0.35,89.64,89.45,90.81,3.44,0.35,3.71,3.87,3.85,1.64,0.52,1.34,2.65,1.07
2017,86749,Sibundoy,86,Putumayo,3826.0,Putumayo (ETC),3081,103.9,103.83,45.83,91.83,105.24,72.78,121.84,87.5,111.21,134.48,140.74,25.533,33.33,1.55,3.29,0.92,1.92,1.51,94.18,0.0,97.48,89.38,96.48,4.27,0.0,1.6,8.69,2.01,1.14,0.47,0.84,1.92,0.34
2017,86755,San Francisco,86,Putumayo,3826.0,Putumayo (ETC),1655,54.9,54.92,34.81,52.64,45.88,32.26,68.52,58.52,73.32,67.78,62.1,20.513,16.67,1.71,1.27,0.24,4.26,0.0,90.62,0.0,95.06,81.76,94.29,7.68,0.0,4.71,13.98,5.71,0.32,0.0,0.71,0.0,0.0
2017,86757,San Miguel,86,Putumayo,3826.0,Putumayo (ETC),7897,48.4,48.39,26.53,44.19,43.95,24.36,55.78,48.69,57.29,59.89,47.66,24.652,22.58,5.62,4.19,4.08,8.06,5.14,90.29,0.0,92.12,86.46,91.01,4.09,0.0,3.8,5.49,3.85,1.36,0.0,1.45,1.6,1.28
2017,86760,Santiago,86,Putumayo,3826.0,Putumayo (ETC),2498,47.1,47.08,28.37,46.29,41.5,24.54,54.52,50.7,59.58,54.56,44.21,24.209,41.67,4.17,1.83,2.43,6.77,4.71,91.13,0.0,92.19,87.13,93.19,4.7,0.0,5.38,6.09,2.09,2.43,0.0,1.91,4.06,1.57
2017,86865,Valle del Guamuez,86,Putumayo,3826.0,Putumayo (ETC),13363,52.3,52.28,26.08,48.03,47.93,28.37,61.75,44.78,61.88,69.82,54.27,27.864,25.3,4.97,7.58,4.03,6.01,3.75,89.35,0.2,91.1,85.59,92.79,5.68,0.2,4.88,8.4,3.46,2.37,2.05,2.13,3.35,0.59
2017,86885,Villagarzón,86,Putumayo,3826.0,Putumayo (ETC),5316,105.1,105.08,51.65,97.08,92.71,43.37,119.22,105.27,121.95,136.19,86.62,28.568,19.7,6.21,4.79,3.89,9.02,7.57,86.76,0.0,90.33,80.99,84.86,7.03,0.0,5.78,9.99,7.57,3.68,0.65,2.95,5.24,3.78
2017,88001,San Andrés,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",3827.0,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",14136,66.2,65.97,51.65,65.83,58.46,36.32,70.61,65.6,75.23,74.3,54.52,28.174,84.21,1.09,0.84,1.12,1.19,0.79,97.83,0.0,98.17,96.78,98.64,1.09,0.0,0.7,2.03,0.56,2.24,1.51,1.29,4.14,0.9
2017,88564,Providencia,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",3827.0,"Archipiélago de San Andrés, Providencia y Santa Catalina (ETC)",970,92.0,91.96,44.58,96.81,77.81,59.38,98.04,87.95,113.51,94.38,71.25,22.463,60.0,1.68,0.0,2.6,0.66,1.75,98.32,0.0,97.4,99.34,98.25,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.65,0.33,0.0
2017,91001,Leticia,91,Amazonas,3828.0,Amazonas (ETC),10968,116.9,116.86,67.32,112.62,94.94,48.5,137.19,120.14,147.46,141.98,110.34,28.192,32.43,5.76,8.81,3.76,7.8,6.1,84.47,0.09,87.87,77.84,84.81,9.77,0.09,8.36,14.35,9.08,5.18,1.78,5.58,6.32,2.43
2017,91263,El Encanto,91,Amazonas,3828.0,Amazonas (ETC),1517,25.1,25.12,14.58,24.78,19.92,8.66,30.72,28.47,32.39,29.03,30.74,3.97,22.22,10.24,4.88,3.7,20.16,20.51,86.9,0.0,93.06,75.81,79.49,2.86,0.0,3.24,4.03,0.0,1.9,2.44,1.85,2.42,0.0
2017,91407,La Pedrera,91,Amazonas,3828.0,Amazonas (ETC),1678,52.6,52.62,26.71,58.77,23.78,7.85,61.14,81.51,84.12,41.43,27.27,10.417,20.0,0.82,1.68,1.01,0.0,0.0,99.18,0.0,98.99,100.0,100.0,0.0,0.0,0.0,0.0,0.0,7.17,3.36,10.72,0.96,0.0
2017,91540,Puerto Nariño,91,Amazonas,3828.0,Amazonas (ETC),2591,71.4,71.44,63.01,68.26,46.77,22.98,84.18,103.25,93.79,79.17,55.3,19.632,6.67,3.52,0.79,1.07,6.81,10.0,87.98,5.91,85.95,89.04,88.42,8.5,5.91,12.98,4.15,1.58,9.61,9.84,10.15,10.3,4.21
2017,91798,Tarapacá,91,Amazonas,3828.0,Amazonas (ETC),1317,57.3,57.25,32.0,59.65,35.27,9.86,68.79,79.2,87.96,57.25,34.27,19.5,8.33,4.21,10.1,4.43,1.82,0.0,95.79,0.0,95.57,98.18,100.0,0.0,0.0,0.0,0.0,0.0,11.7,5.05,18.31,0.91,5.13
2017,94001,Inírida,94,Guainía,3829.0,Guainía (ETC),5384,117.7,117.74,81.29,114.75,66.47,16.43,145.58,154.26,169.45,149.71,74.7,25.747,16.22,8.42,11.54,6.55,10.86,8.06,76.08,5.63,79.54,66.91,76.61,15.5,5.63,13.91,22.23,15.32,4.27,3.85,4.66,4.46,0.27
2017,95001,San José del Guaviare,95,Guaviare,3830.0,Guaviare (ETC),19234,64.6,64.59,28.09,61.4,52.66,27.09,79.41,53.09,87.03,84.88,61.2,31.955,12.31,4.95,7.76,3.86,6.21,4.55,93.24,0.0,93.58,92.73,93.85,1.81,0.0,2.56,1.06,1.6,3.69,0.72,2.8,6.18,2.05
2017,95015,Calamar,95,Guaviare,3830.0,Guaviare (ETC),2331,63.3,63.28,26.43,63.98,48.89,18.73,84.43,58.59,86.95,96.54,69.42,24.652,12.0,4.7,6.02,4.77,4.46,3.79,95.05,0.0,95.23,95.33,93.94,0.25,0.0,0.0,0.2,2.27,0.94,0.0,0.48,2.23,0.0
2017,95025,El Retorno,95,Guaviare,3830.0,Guaviare (ETC),7010,39.8,39.81,26.31,38.13,30.59,15.78,46.29,44.77,52.1,46.73,31.03,31.84,21.21,2.51,1.95,1.96,3.4,2.84,97.49,0.0,98.04,96.6,97.16,0.0,0.0,0.0,0.0,0.0,0.9,0.78,0.34,1.65,1.42
2017,95200,Miraflores,95,Guaviare,3830.0,Guaviare (ETC),3301,25.7,25.69,8.83,28.06,16.5,6.45,32.11,21.55,44.39,28.29,14.36,22.625,15.0,1.61,1.64,2.06,1.1,0.0,98.39,0.0,97.94,98.9,100.0,0.0,0.0,0.0,0.0,0.0,1.61,3.28,2.43,0.0,0.0
2017,97001,Mitú,97,Vaupés,3831.0,Vaupés (ETC),9242,65.5,65.48,25.67,65.55,41.14,16.05,78.48,49.14,96.25,75.15,52.71,15.757,14.1,7.76,10.2,6.6,10.2,5.03,81.74,0.75,79.66,82.66,87.52,10.5,0.75,13.75,7.13,7.45,3.24,1.0,3.23,4.21,1.3
2017,97511,Pacoa,97,Vaupés,3831.0,Vaupés (ETC),1725,51.3,51.3,9.09,48.71,21.26,2.17,62.55,19.48,90.93,54.77,26.35,10.767,25.0,15.29,13.33,7.89,26.97,35.62,68.67,0.0,73.21,61.18,50.68,16.03,0.0,18.9,11.84,13.7,5.65,0.0,8.18,1.97,0.0
2017,97889,Yavaraté,97,Vaupés,3831.0,Vaupés (ETC),369,82.7,82.66,39.39,91.88,41.88,15.25,95.39,66.67,136.88,70.94,47.46,10.545,16.67,1.14,0.0,0.46,3.61,0.0,82.67,0.0,76.71,87.95,100.0,16.19,0.0,22.83,8.43,0.0,3.41,0.0,5.48,0.0,0.0
2017,99001,Puerto Carreño,99,Vichada,3832.0,Vichada (ETC),4581,97.6,97.62,60.78,97.96,65.66,33.51,111.35,99.26,134.92,103.02,72.85,28.628,70.59,8.16,10.44,7.38,9.47,6.54,82.25,1.37,83.34,78.33,83.41,9.59,1.37,9.28,12.2,10.05,10.73,4.12,12.18,12.72,1.87
2017,99524,La Primavera,99,Vichada,3832.0,Vichada (ETC),4560,51.8,51.75,24.4,50.42,34.36,18.58,56.93,45.69,71.23,51.27,33.63,21.571,70.59,6.43,8.9,6.92,5.09,5.7,82.36,0.0,79.87,83.24,87.72,11.21,0.0,13.21,11.66,6.58,8.94,1.57,10.06,9.65,5.7
2017,99624,Santa Rosalía,99,Vichada,3832.0,Vichada (ETC),1228,74.1,74.1,28.81,74.54,45.71,24.6,83.96,60.17,107.25,75.06,50.27,25.632,20.0,6.98,9.86,4.51,12.46,3.19,84.68,0.0,87.87,73.36,95.74,8.34,0.0,7.63,14.19,1.06,10.86,0.0,12.65,13.15,1.06
2017,99773,Cumaribo,99,Vichada,3832.0,Vichada (ETC),11913,80.8,80.77,51.04,84.54,20.64,4.9,100.1,106.43,162.21,53.32,22.89,17.0,31.29,9.54,9.24,8.63,12.88,10.48,71.6,0.53,66.75,76.98,82.8,18.86,0.53,24.62,10.14,6.72,12.9,6.84,14.48,11.83,5.38
